Id,degree,group
1253151725646761984,4,0
710916597859352581,4,1
1379579323062046720,4,1
382848771,4,1
1448972234857586718,4,0
978830759116013573,4,1
1378751803890733057,4,1
1444683062357409799,4,2
854369127833763846,4,3
1267280201366540288,4,3
742136762370248705,4,3
229247030,4,0
701154343358222336,4,1
917786232817635328,4,0
1123759949560074240,4,3
977254125351178241,4,1
1464444704612036610,4,3
38269511,4,1
4025517641,4,1
1060335181,4,2
262799953,4,0
93376089,4,2
3047914591,4,1
1521586937689214977,4,3
1153806900988973056,4,1
933043674954551297,4,2
927691402871558144,4,1
915535605211320320,4,1
3867802757,4,0
756365468189986817,4,3
897621394602823681,4,1
1139189432412770304,4,3
1001891389402238977,4,3
1518559338092236801,4,3
1131720801546309634,4,3
1451739298722729986,4,1
1299399758335873028,4,1
1056865676428800000,4,1
1134981191373918210,4,1
1152369659615875074,4,1
747872014208229376,4,3
829328920562524160,4,1
3648562336,4,3
1428000137767489543,4,1
796861315,4,1
477190319,4,0
711619102817837056,4,3
945305050460643328,4,3
964400457933139970,4,1
1072642403671121921,4,1
707644724996382721,4,1
540769000,4,0
912805771032895488,4,1
905813008345178112,4,3
1113518443201011712,4,1
869172790586482688,4,2
147970288,4,2
4829969135,4,2
354675954,4,2
967865861376827392,4,0
768491635336503296,4,0
1026194714192764928,4,3
749465651392241664,4,3
1225236628786044929,4,1
1113048665604743169,4,1
1338488741036498946,4,0
140927249,4,0
1130272937674776579,4,1
1100112336323600385,4,1
2874463000,4,1
4810761495,4,2
2614770456,4,0
349742366,4,0
1147976796572459014,4,1
534286626,4,1
2966937376,4,2
739264806,4,1
343524128,4,3
1346362060385431553,4,0
1002582369684152322,4,3
912631294114312192,4,1
924313915,4,3
120553287,4,0
2950590796,4,3
486759246,4,3
4085818709,4,1
830433483029876736,4,1
915374558894583808,4,1
4130953066,4,1
4689659762,4,2
889949951408713728,4,0
628844923,4,3
1005089984360087552,4,1
1525120162239741952,4,3
964925181545328641,4,1
710965618569310210,4,1
234480156,4,0
754176985115525121,4,0
833836775290306561,4,2
97284004,4,0
1301259100240719874,4,0
1057677041741512704,4,0
723915130887651328,4,3
381822920,4,2
1852872163,4,2
93153252,4,0
851555645522411520,4,1
1050404682638786560,4,1
1058773878900752384,4,2
311457788,4,2
